Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Price,Materials,image_file,image_file_processed
Girard-Perregaux,1966,49529-52-131-BABA,1966 Chronograph Pink Gold White,"Girard-Perregaux caliber GP03800-0001
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",2013,No,,Sapphire,Open,Round,40.00 mm,11.25 mm,,30.00 m,,White,Guilloche,Stick / Dot,Feuille,,,49529-52-131-BABA.jpg,processed_49529-52-131-BABA.jpg
Girard-Perregaux,Laureato,81005-11-131-BB6A,Laureato 38 Automatic Stainless Steel / Silver,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",2017,No,,Sapphire,Open,Round,38.00 mm,10.02 mm,24.00 mm,100.00 m,,Silver,Guilloche,Stick / Dot,Stick,"""12700""",,81005-11-131-BB6A.jpg,processed_81005-11-131-BB6A.jpg
Girard-Perregaux,1966,49528D11A172-CB6A,1966 30mm Stainless Steel / Diamond / Silver / Alligator,"Girard-Perregaux caliber GP03200-0012
Hours, Minutes, Seconds",,No,Gem-Set,Sapphire,Open,Round,30.00 mm,8.90 mm,,30.00 m,silver flinqué,Silver,Guilloche,Stick / Dot,Feuille,,,49528D11A172-CB6A.jpg,processed_49528D11A172-CB6A.jpg
Girard-Perregaux,Laureato,81000-11-431-11A,Laureato 41 Automatic Stainless Steel / Blue,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",2016,"Yes, 225 units",,Sapphire,Open,Round,41.00 mm,10.10 mm,,30.00 m,,Blue,Guilloche,Stick / Dot,Stick,"""14700""",,81000-11-431-11A.jpg,processed_81000-11-431-11A.jpg
Girard-Perregaux,Vintage 1945,25882-52-222-BB6B,Vintage 1945 XXL Large Date and Moonphases Pink Gold / Grey Sapphire,"Girard-Perregaux caliber GP03300-0105
Hours, Minutes, Small Seconds | Big Date | Moonphase",2013,No,,Sapphire,Open,Rectangular,36.10 mm,35.25 mm,24.00 mm,,,Grey,,Mixed,Sword,,,25882-52-222-BB6B.jpg,processed_25882-52-222-BB6B.jpg
Girard-Perregaux,1966,49523D56A171-CB6A,1966 36mm Stainless Steel / Pink Gold / Diamond / Silver / Alligator,"Girard-Perregaux caliber GP03300-0123
Hours, Minutes, Seconds",,No,,Sapphire,Open,Round,36.00 mm,9.01 mm,,30.00 m,silver flinqué,Silver,Guilloche,Mixed,Feuille,,,49523D56A171-CB6A.jpg,processed_49523D56A171-CB6A.jpg
Girard-Perregaux,1966,49555-11-131-11A,1966 40 Stainless Steel Bracelet,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,40.00 mm,8.50 mm,,30.00 m,,Silver,Guilloche,Stick / Dot,Feuille,,,49555-11-131-11A.jpg,processed_49555-11-131-11A.jpg
Girard-Perregaux,1966,49528D52A771-CK6A,1966 30mm Pink Gold / Diamond / MOP / Alligator,"Girard-Perregaux caliber GP03200-0012
Hours, Minutes, Seconds",,No,Gem-Set,Sapphire,Open,Round,30.00 mm,8.90 mm,,30.00 m,,White,,Stick / Dot,Feuille,,,49528D52A771-CK6A.jpg,processed_49528D52A771-CK6A.jpg
Girard-Perregaux,1966,49534-52-R06-BB60,1966 The Chamber of Wonders Novus Orbis,"Girard-Perregaux caliber GP03300-0060
Hours, Minutes",,"Yes, 18 units",,Sapphire,Open,Round,40.00 mm,8.50 mm,,30.00 m,,Multi-Color,Guilloche,Stick / Dot,Feuille,,,49534-52-R06-BB60.jpg,processed_49534-52-R06-BB60.jpg
Girard-Perregaux,1966,49523D11A171-CB6A,1966 36mm Stainless Steel / Diamond / Silver / Alligator,"Girard-Perregaux caliber GP03300-0123
Hours, Minutes, Seconds",,No,Gem-Set,Sapphire,Open,Round,36.00 mm,9.01 mm,,30.00 m,silver flinqué,Silver,Guilloche,Mixed,Feuille,,,49523D11A171-CB6A.jpg,processed_49523D11A171-CB6A.jpg
